TOT_OA_CD,ADM_CD,Admin,Abs_mean,dRL_mean,dNB_mean,SAVI,DEM,Elderly_Ratio,Old_housing_Ratio,cx,cy,Z_Abs,Z_Elderly,Z_dNB,Z_Old,Z_dRL,Track1_Score,Track2_Score
24040560050001,24040560.0,신안동,43.3554,0.19124,0.00294,0.12917,40.41,22.0,22.2,945892.42,1685699.8,1.1598,-0.07376,0.17331,12.16728,-0.34724,1.08604,11.99335
24040810060001,24040810.0,건국동,35.7123,-2.76752,0.0107,0.36349,25.161,7.400000000000037,13.59999999999994,942419.59,1693264.29,-1.60158,-0.92954,0.60521,7.20184,-2.0369,-2.53112,5.77015
24040700020003,24040700.0,삼각동,40.9615,2.62485,0.0158,0.18853,49.962,11.5,13.3,945292.42,1689149.8,0.29491,-0.68922,0.88906,7.02862,1.04252,-0.39431,8.9602
24040800020001,24040800.0,양산동,39.2402,0.40618,0.0177,0.26042,20.457,76.60000000000022,10.0,941803.5,1689628.84,-0.32698,3.1266,0.99481,5.12328,-0.22449,2.79962,5.8936
24040820050002,24040820.0,신용동,36.4492,0.7272,0.00766,0.36584,23.208,0.0,7.699999999999996,942148.87,1691540.12,-1.33534,-1.36329,0.43601,3.79531,-0.04117,-2.69863,4.19015
24040810050302,24040810.0,건국동,35.0716,2.034,0.09385,0.24234,45.233,4.4,0.0,942642.42,1691449.8,-1.83305,-1.10539,5.23311,-0.65049,0.7051,-2.93844,5.28772
24040560050003,24040560.0,신안동,43.4237,-0.80204,-0.00369,0.13603,43.799,57.7,10.5,946002.42,1685479.8,1.18447,2.01878,-0.1957,5.41197,-0.91447,3.20325,4.3018
24040800020002,24040800.0,양산동,40.6176,1.17675,0.0078,0.149,42.63,64.1,6.7,942962.42,1690689.8,0.17066,2.39392,0.4438,3.21794,0.21555,2.56458,3.87729
24040630010004,24040630.0,24040630,41.4632,0.50731,-0.00215,0.23937,58.41,14.800000000000006,7.0,947780.51,1685635.51,0.47617,-0.49579,-0.10999,3.39115,-0.16674,-0.01962,3.11442
24040810030001,24040810.0,건국동,32.6691,-2.74745,0.0462,0.42129,31.98,66.70000000000022,3.899999999999986,942230.71,1694310.29,-2.70105,2.54632,2.58104,1.60128,-2.02544,-0.15473,2.15688
24040810050102,24040810.0,건국동,37.5471,2.10493,0.05081,0.16723,44.017,7.0,0.0,942992.42,1691449.8,-0.93868,-0.95299,2.83762,-0.65049,0.74561,-1.89167,2.93274
24040560040002,24040560.0,신안동,43.0863,1.19621,-0.00155,0.21192,39.188,58.8,6.700000000000001,945785.28,1686106.94,1.06257,2.08326,-0.0766,3.21794,0.22667,3.14583,3.36801
24040800020004,24040800.0,양산동,39.5161,-0.37542,0.01496,0.33416,27.149,20.600000000000005,2.5,942609.09,1689922.02,-0.2273,-0.15583,0.84231,0.79295,-0.67084,-0.38313,0.96442
24040810010005,24040810.0,건국동,33.8032,-0.09236,0.00282,0.48238,65.492,33.2,4.900000000000014,944621.31,1692335.96,-2.29131,0.58272,0.16663,2.17866,-0.5092,-1.70859,1.83609
24040820040001,24040820.0,신용동,39.5823,-0.01237,0.00106,0.30413,36.632,0.0,8.3,942542.42,1690599.8,-0.20338,-1.36329,0.06867,4.14174,-0.46352,-1.56667,3.74689
24040831010007,24040831.0,중흥동,41.0002,2.34103,-0.00158,0.10546,39.075,4.2,7.7,946792.42,1686649.8,0.30889,-1.11711,-0.07827,3.79531,0.88044,-0.80822,4.59748
24040780010001,24040780.0,24040780,39.9075,0.52455,-0.00018,0.25304,67.176,7.299999999999998,4.9,944859.09,1690649.8,-0.08589,-0.9354,-0.00035,2.17866,-0.1569,-1.02129,2.02141
24040800020007,24040800.0,양산동,41.1025,1.08702,0.01284,0.24538,34.834,26.0,1.8000000000000005,942575.75,1690305.36,0.34585,0.16069,0.72431,0.38879,0.16431,0.50654,1.27741
24040800010008,24040800.0,양산동,40.8474,0.95953,0.00751,0.1596,43.12,8.299999999999999,4.1000000000000005,943225.75,1690866.47,0.25368,-0.87679,0.42766,1.71676,0.09151,-0.62311,2.23593
24040640010006,24040640.0,문흥동,42.6349,1.73947,0.016,0.13432,55.397,20.9,1.8,947942.42,1687516.47,0.89949,-0.13824,0.90019,0.38879,0.53691,0.76125,1.82589
24040810050301,24040810.0,건국동,35.2115,1.60802,0.05947,0.31582,45.031,2.3,0.0,942742.42,1691449.8,-1.78251,-1.22848,3.31961,-0.65049,0.46184,-3.01099,3.13096
24040680010001,24040680.0,두암2동,43.843,1.837,0.00175,0.11938,52.633,51.29999999999999,3.0,948009.09,1686516.47,1.33596,1.64365,0.10707,1.08164,0.5926,2.97961,1.78131
24040810050001,24040810.0,건국동,36.9801,-0.11074,0.01709,0.36414,33.49,20.599999999999984,1.9000000000000024,942823.85,1691734.09,-1.14353,-0.15583,0.96086,0.44653,-0.51969,-1.29936,0.8877
24040600010001,24040600.0,24040600,36.5535,1.26365,0.03744,0.33705,50.853,8.5,2.5,943294.07,1687924.53,-1.29766,-0.86506,2.09348,0.79295,0.26518,-2.16272,3.15161
24040640010001,24040640.0,문흥동,42.1829,1.83352,0.00724,0.16837,53.094,19.1,2.7,948022.42,1687589.8,0.73619,-0.24375,0.41263,0.90843,0.59062,0.49244,1.91168
24040560050004,24040560.0,신안동,43.25,-0.47055,-0.00215,0.1383,39.398,26.1,5.299999999999999,945724.24,1685640.71,1.12172,0.16656,-0.10999,2.40961,-0.72517,1.28828,1.57445
24040800020008,24040800.0,양산동,42.3144,1.04578,0.01523,0.16833,40.524,23.6,2.5,942854.92,1690287.3,0.78369,0.02002,0.85733,0.79295,0.14076,0.80371,1.79104
24040600010301,24040600.0,24040600,38.7475,1.89062,0.02907,0.23647,44.877,8.5,0.0,943242.42,1687749.8,-0.50499,-0.86506,1.62763,-0.65049,0.62322,-1.37005,1.60036
24040630010007,24040630.0,24040630,43.4996,2.20425,0.00239,0.17229,53.152,22.5,1.6999999999999995,947428.13,1685678.37,1.2119,-0.04446,0.14269,0.33105,0.80233,1.16744,1.27607
24040510020001,24040510.0,용봉동,44.8156,0.41165,0.00908,0.11055,41.313,64.7,2.6,946422.42,1685189.8,1.68735,2.42909,0.51504,0.85069,-0.22137,4.11644,1.14436
24040720010012,24040720.0,24040720,43.6093,2.81504,0.02821,0.15088,47.154,22.5,1.7,946442.42,1688299.8,1.25153,-0.04446,1.57977,0.33105,1.15113,1.20707,3.06195
24040680010006,24040680.0,두암2동,42.5559,1.11602,0.00778,0.11297,51.611,28.5,2.2,947892.42,1686649.8,0.87095,0.30723,0.44269,0.61974,0.18087,1.17818,1.2433
24040510020006,24040510.0,용봉동,44.0452,0.07647,0.0021,0.13739,41.972,40.0,3.7000000000000006,946775.75,1685683.13,1.40902,0.9813,0.12655,1.48581,-0.41278,2.39032,1.19958
24040630010001,24040630.0,24040630,43.8278,2.70185,0.00802,0.20551,50.357,53.6,2.3000000000000003,947275.75,1685866.47,1.33047,1.77846,0.45604,0.67748,1.08649,3.10893,2.22001
24040540020001,24040540.0,우산동,43.3443,0.39816,0.00314,0.15777,41.56,35.60000000000001,4.200000000000001,945700.75,1685024.8,1.15579,0.7234,0.18444,1.77449,-0.22907,1.87919,1.72986
24040720010005,24040720.0,24040720,43.2699,3.94748,0.00888,0.15517,46.241,24.9,2.8000000000000003,945992.42,1688249.8,1.12891,0.09622,0.50391,0.96617,1.79783,1.22513,3.26791
24040720010010,24040720.0,24040720,43.2866,3.82818,0.00836,0.13474,43.818,24.8,2.8,945992.42,1688049.8,1.13494,0.09036,0.47497,0.96617,1.72971,1.2253,3.17085
24040660020005,24040660.0,24040660,41.2775,-0.73551,-0.00152,0.1621,47.058,38.2,3.1,946975.75,1687183.13,0.40907,0.8758,-0.07493,1.13938,-0.87648,1.28487,0.18797
24040590020005,24040590.0,24040590,43.5303,2.56925,0.00663,0.13132,32.983,17.7,4.5,943792.42,1686666.47,1.22299,-0.32581,0.37868,1.94771,1.01077,0.89718,3.33716
24040820050101,24040820.0,신용동,37.917,0.75455,0.07131,0.28874,45.162,0.0,0.0,942442.42,1691599.8,-0.80504,-1.36329,3.9786,-0.65049,-0.02555,-2.16833,3.30256
24040570040024,24040570.0,임동,41.9225,2.32138,0.00708,0.15018,44.362,2.7,4.3,945392.42,1687049.8,0.64211,-1.20503,0.40373,1.83223,0.86922,-0.56292,3.10518
24040570040008,24040570.0,임동,43.0984,2.69078,0.01076,0.15927,38.059,6.4,6.1,945342.42,1687499.8,1.06695,-0.98816,0.60855,2.87151,1.08017,0.07879,4.56023
24040510020005,24040510.0,용봉동,43.9478,0.92782,0.00924,0.15093,41.496,30.800000000000004,2.6,946656.71,1685535.51,1.37383,0.44205,0.52395,0.85069,0.0734,1.81588,1.44804
24040700020301,24040700.0,삼각동,41.1886,2.6462,0.02838,0.19642,63.9,21.1,0.6,945242.42,1689049.8,0.37696,-0.12652,1.58923,-0.30406,1.05471,0.25044,2.33988
24040570040018,24040570.0,임동,40.4451,-0.06213,0.00559,0.15046,53.386,4.4,5.1,946642.42,1687316.47,0.10834,-1.10539,0.3208,2.29413,-0.49193,-0.99705,2.123
24040730010001,24040730.0,오치2동,42.4245,3.40716,0.00835,0.18184,42.263,18.0,2.6000000000000005,945632.42,1687909.8,0.82347,-0.30822,0.47441,0.85069,1.48927,0.51525,2.81437
24040570020006,24040570.0,임동,44.9746,2.21117,0.00706,0.12734,34.392,18.300000000000004,2.5,944950.75,1687066.47,1.7448,-0.29064,0.40261,0.79295,0.80628,1.45416,2.00184
24040810010001,24040810.0,건국동,41.2443,0.83206,0.00939,0.17452,42.91,24.800000000000008,2.5,943392.42,1691364.09,0.39708,0.09036,0.5323,0.79295,0.01871,0.48744,1.34396
