id,left,top,right,bottom,row_index,col_index,LST20_mean,LST25_mean,dLST_mean,dNDBI_mean,SAVI20_mea,SAVI25_mea,dSAVI,DEM_mean
32,939392.4194,1692999.8,939492.4194,1692899.8,31,0,3.452462982,-0.487191729,-3.939654832,0.012219792,0.166746699,0.080008671,-0.086738028,30.8
33,939392.4194,1692899.8,939492.4194,1692799.8,32,0,3.792624354,-0.23353681,-4.026161075,0.041479237,0.303279248,0.260565407,-0.04271384,31.63333333
34,939392.4194,1692799.8,939492.4194,1692699.8,33,0,3.623242378,-0.781369448,-4.404612064,0.008757286,0.379917633,0.42324538,0.043327747,36.2
186,939492.4194,1692999.8,939592.4194,1692899.8,31,1,3.242854738,-0.309813905,-3.552668667,0.028583464,0.634082712,0.576438933,-0.057643779,31.81666667
187,939492.4194,1692899.8,939592.4194,1692799.8,32,1,3.648069827,0.278003427,-3.370066468,0.010390864,0.350337685,0.317965164,-0.032372521,31.55833333
188,939492.4194,1692799.8,939592.4194,1692699.8,33,1,1.373991251,-0.864672904,-2.23866418,0.013536149,0.537635037,0.550331195,0.012696158,31.55
189,939492.4194,1692699.8,939592.4194,1692599.8,34,1,-0.034857246,-1.238244833,-1.203387558,0.060672894,0.548474543,0.452998182,-0.095476361,34.40833333
340,939592.4194,1692999.8,939692.4194,1692899.8,31,2,4.241973257,-0.24948895,-4.491462135,-0.005754131,0.438772008,0.43912483,0.000352822,33.04166667
341,939592.4194,1692899.8,939692.4194,1692799.8,32,2,3.61750772,-0.067898881,-3.68540659,-0.002420277,0.380831189,0.393427149,0.012595961,32.525
342,939592.4194,1692799.8,939692.4194,1692699.8,33,2,2.209190898,0.674322955,-1.534867985,0.060179203,0.547128265,0.413296,-0.133832265,29.31666667
343,939592.4194,1692699.8,939692.4194,1692599.8,34,2,3.148228776,1.467269927,-1.680958861,0.040252024,0.520018875,0.306514764,-0.213504111,30.96666667
344,939592.4194,1692599.8,939692.4194,1692499.8,35,2,5.580818415,2.570188999,-3.010629416,0.002842814,0.237845057,0.185800211,-0.052044847,31.99224806
494,939692.4194,1692999.8,939792.4194,1692899.8,31,3,6.171946049,-0.759532094,-6.931478024,0.013988802,0.462983891,0.324320584,-0.138663307,34.32539683
495,939692.4194,1692899.8,939792.4194,1692799.8,32,3,4.186551154,1.184371814,-3.002179265,0.01823579,0.319399843,0.297861166,-0.021538676,32.42748092
496,939692.4194,1692799.8,939792.4194,1692699.8,33,3,4.103331849,1.422754951,-2.680576831,0.003400325,0.358814116,0.375600611,0.016786495,31.19230769
497,939692.4194,1692699.8,939792.4194,1692599.8,34,3,5.201703032,2.494964103,-2.706738909,-0.009666974,0.325104603,0.314963947,-0.010140656,31.89230769
498,939692.4194,1692599.8,939792.4194,1692499.8,35,3,5.613289515,2.571496973,-3.041792651,-0.000799426,0.344989358,0.375002599,0.030013242,32.85123967
499,939692.4194,1692499.8,939792.4194,1692399.8,36,3,6.782980402,4.137716353,-2.645264049,0.004079657,0.264184176,0.280354169,0.016169993,30.98333333
500,939692.4194,1692399.8,939792.4194,1692299.8,37,3,8.526391864,5.305588961,-3.220803082,0.010352942,0.184632609,0.191960408,0.007327799,30.775
551,939692.4194,1687299.8,939792.4194,1687199.8,88,3,3.0729038,-2.559999467,-5.632903182,0.002111931,0.152865562,0.155296573,0.002431011,20.85
648,939792.4194,1692999.8,939892.4194,1692899.8,31,4,5.807682719,1.935283678,-3.872399058,0.018874378,0.419384781,0.376960537,-0.042424244,32.08461538
649,939792.4194,1692899.8,939892.4194,1692799.8,32,4,5.774582624,2.646425098,-3.128157616,0.015987423,0.31672164,0.27413547,-0.04258617,32.56349206
650,939792.4194,1692799.8,939892.4194,1692699.8,33,4,4.473854646,0.888850755,-3.585003898,0.003611368,0.353523895,0.408670325,0.05514643,31.59055118
651,939792.4194,1692699.8,939892.4194,1692599.8,34,4,4.489492853,1.211992159,-3.277500749,0.01251648,0.465525205,0.504862149,0.039336944,31.68292683
652,939792.4194,1692599.8,939892.4194,1692499.8,35,4,4.991384029,2.51630346,-2.475080639,0.007183502,0.308220707,0.323596355,0.015375648,31.21666667
653,939792.4194,1692499.8,939892.4194,1692399.8,36,4,7.497734189,5.705808043,-1.791926153,0.002839969,0.214649153,0.23396232,0.019313166,28.90833333
654,939792.4194,1692399.8,939892.4194,1692299.8,37,4,8.114045938,5.65611728,-2.457928648,0.011376206,0.219852565,0.217049812,-0.002802753,31.43333333
655,939792.4194,1692299.8,939892.4194,1692199.8,38,4,5.86717248,3.151071191,-2.716101348,-0.017794853,0.380456802,0.449720708,0.069263906,30.71666667
703,939792.4194,1687499.8,939892.4194,1687399.8,86,4,5.013742275,1.300159688,-3.713582696,-0.009967413,0.180919813,0.076533832,-0.104385981,21.43548387
704,939792.4194,1687399.8,939892.4194,1687299.8,87,4,2.720014359,-1.794147775,-4.514162143,0.010204254,0.14219262,0.17946347,0.03727085,17.43307087
705,939792.4194,1687299.8,939892.4194,1687199.8,88,4,1.89457605,-3.670487389,-4.358672698,-0.021441291,0.370635098,0.43420314,0.063568042,16.88429752
797,939892.4194,1693499.8,939992.4194,1693399.8,26,5,3.44973731,-1.677954078,-5.127691269,0.133005649,0.457517424,0.19166981,-0.265847615,41.03225806
798,939892.4194,1693399.8,939992.4194,1693299.8,27,5,3.583853761,-0.969584982,-4.553438822,0.163613091,0.501786576,0.153515224,-0.348271351,44.52307692
799,939892.4194,1693299.8,939992.4194,1693199.8,28,5,2.132302086,-1.373940219,-3.506242275,0.299025193,0.69270899,0.132596749,-0.560112242,44.68461538
800,939892.4194,1693199.8,939992.4194,1693099.8,29,5,1.95210733,-1.273678258,-3.225785653,0.233044669,0.694065503,0.131964939,-0.562100563,42.312
801,939892.4194,1693099.8,939992.4194,1692999.8,30,5,3.360712433,1.26823414,-2.092478299,0.123642905,0.555674929,0.221176664,-0.334498265,35.14166667
802,939892.4194,1692999.8,939992.4194,1692899.8,31,5,6.510085869,2.220052743,-4.290033031,0.00887445,0.288094448,0.273590355,-0.014504093,30.75833333
803,939892.4194,1692899.8,939992.4194,1692799.8,32,5,6.423609972,2.257790279,-4.165819573,-0.012406145,0.284916297,0.302673327,0.01775703,33.55833333
804,939892.4194,1692799.8,939992.4194,1692699.8,33,5,5.429747295,1.453005052,-3.976742315,-0.001176657,0.373037281,0.390031565,0.016994284,33.79166667
805,939892.4194,1692699.8,939992.4194,1692599.8,34,5,5.405536413,2.025377363,-3.380159001,0.007238023,0.421453399,0.460186408,0.038733009,31.55645161
806,939892.4194,1692599.8,939992.4194,1692499.8,35,5,5.369565845,2.285975466,-3.083590289,0.004858787,0.485794918,0.517667096,0.031872178,31.05511811
807,939892.4194,1692499.8,939992.4194,1692399.8,36,5,5.958568156,3.88637276,-2.072195403,-0.005989756,0.384095216,0.379755415,-0.004339801,31.1322314
808,939892.4194,1692399.8,939992.4194,1692299.8,37,5,5.57904609,3.908550998,-1.670495103,0.011768704,0.346121668,0.317212309,-0.028909359,30.91666667
809,939892.4194,1692299.8,939992.4194,1692199.8,38,5,5.42833662,3.156120539,-2.27221632,-0.011145465,0.49249531,0.453614037,-0.038881273,30.84297521
856,939892.4194,1687599.8,939992.4194,1687499.8,85,5,3.190903584,1.20317093,-1.987732609,-0.041349784,0.472785676,0.544553084,0.071767408,21.31666667
857,939892.4194,1687499.8,939992.4194,1687399.8,86,5,0.746608631,-1.539502168,-2.28611084,-0.008154224,0.167730682,0.227752419,0.060021737,18.18333333
858,939892.4194,1687399.8,939992.4194,1687299.8,87,5,1.313581864,-2.748129259,-4.061711083,-0.005484611,0.269764331,0.323460944,0.053696613,14.975
859,939892.4194,1687299.8,939992.4194,1687199.8,88,5,0.923713602,-0.989726273,-1.91343986,-0.060383078,0.463198129,0.608077259,0.14487913,16.42857143
860,939892.4194,1687199.8,939992.4194,1687099.8,89,5,0.760957913,-0.279799462,-1.040757297,-0.054763465,0.432812626,0.568983534,0.136170908,18.4379562
951,939992.4194,1693499.8,940092.4194,1693399.8,26,6,3.777256727,-2.23326838,-6.010524988,0.116529571,0.589138827,0.301406775,-0.287732052,37.78571429
952,939992.4194,1693399.8,940092.4194,1693299.8,27,6,3.149844272,-1.541151915,-4.690996238,0.220274473,0.609068961,0.214795864,-0.394273097,41.7
953,939992.4194,1693299.8,940092.4194,1693199.8,28,6,2.634082657,-0.568322826,-3.202405421,0.317548588,0.68181242,0.117021572,-0.564790847,44.24166667
956,939992.4194,1692999.8,940092.4194,1692899.8,31,6,6.854146123,1.640402138,-5.213744044,-0.020611749,0.389537697,0.428779758,0.039242061,31.025
957,939992.4194,1692899.8,940092.4194,1692799.8,32,6,6.156369495,1.543529749,-4.61283989,-0.033257874,0.388361124,0.37160079,-0.016760334,32.35
958,939992.4194,1692799.8,940092.4194,1692699.8,33,6,5.541711926,2.608353198,-2.933358729,-0.013977408,0.399348097,0.410994956,0.011646858,33.59166667
959,939992.4194,1692699.8,940092.4194,1692599.8,34,6,5.925563773,2.313759863,-3.61180383,-0.019468041,0.24487287,0.252510455,0.007637585,32.71666667
960,939992.4194,1692599.8,940092.4194,1692499.8,35,6,5.508524656,1.946944137,-3.561580439,-0.025964376,0.3456676,0.34623411,0.00056651,33.975
961,939992.4194,1692499.8,940092.4194,1692399.8,36,6,5.130426466,2.376773112,-2.753653347,-0.001025012,0.363887976,0.389131208,0.025243232,31.00740741
962,939992.4194,1692399.8,940092.4194,1692299.8,37,6,4.69676515,2.40428928,-2.292475854,-0.006744986,0.44494452,0.472106284,0.027161764,28.18248175
1009,939992.4194,1687699.8,940092.4194,1687599.8,84,6,5.784745345,4.082971039,-1.701774281,0.00779699,0.197504612,0.228009811,0.030505199,22.81666667
